official_name,selected_reviews,direct_reviews,mirror_reviews,status_300,remaining_to_300
Hermina Badung,56,56,0,MENTOK_UNDER_300,244
Hermina Bogor,73,50,23,MENTOK_UNDER_300,227
Hermina Karawang,100,100,0,MENTOK_UNDER_300,200
Hermina Kendari,100,100,0,MENTOK_UNDER_300,200
Hermina Nusantara,113,113,0,MENTOK_UNDER_300,187
Hermina Salatiga,181,181,0,MENTOK_UNDER_300,119
RS Hermina PIK Dua,192,192,0,MENTOK_UNDER_300,108
RSU Hermina Aceh,263,245,18,MENTOK_UNDER_300,37
Hermina Sukabumi,273,232,41,MENTOK_UNDER_300,27
Hermina Serpong,275,275,0,MENTOK_UNDER_300,25
Hermina Mutiara Bunda Salatiga,276,276,0,MENTOK_UNDER_300,24
Hermina Madiun,287,177,110,MENTOK_UNDER_300,13
Hermina Arcamanik,298,277,21,MENTOK_UNDER_300,2
Hermina Pasteur,298,217,81,MENTOK_UNDER_300,2
Hermina Balikpapan,300,300,0,OK,0
Hermina Banyumanik,300,300,0,OK,0
Hermina Bekasi,300,300,0,OK,0
Hermina Bitung,300,50,250,OK,0
Hermina Ciawi,300,300,0,OK,0
Hermina Ciledug,300,300,0,OK,0
Hermina Cilegon,300,300,0,OK,0
Hermina Ciputat,300,300,0,OK,0
Hermina Ciruas,300,300,0,OK,0
Hermina Daan Mogot,300,300,0,OK,0
Hermina Depok,300,300,0,OK,0
Hermina Grand Wisata,300,300,0,OK,0
Hermina Jatinegara,300,279,21,OK,0
Hermina Kemayoran,300,300,0,OK,0
Hermina Lampung,300,300,0,OK,0
Hermina Makassar,300,300,0,OK,0
Hermina Manado,300,300,0,OK,0
Hermina Medan,300,300,0,OK,0
Hermina Mekarsari,300,300,0,OK,0
Hermina Metland Cibitung,300,300,0,OK,0
Hermina OPI Jakabaring,300,300,0,OK,0
Hermina Padang,300,300,0,OK,0
Hermina Palembang,300,300,0,OK,0
Hermina Pandanaran,300,300,0,OK,0
Hermina Pasuruan,300,300,0,OK,0
Hermina Pekalongan,300,300,0,OK,0
Hermina Pekanbaru,300,300,0,OK,0
Hermina Periuk Tangerang,300,300,0,OK,0
Hermina Podomoro,300,300,0,OK,0
Hermina Purwokerto,300,300,0,OK,0
Hermina Samarinda,300,300,0,OK,0
Hermina Solo,300,300,0,OK,0
Hermina Soreang,300,300,0,OK,0
Hermina Tangerang,300,300,0,OK,0
Hermina Tangkuban Perahu,300,300,0,OK,0
Hermina Tasikmalaya,300,300,0,OK,0
Hermina Wonogiri,300,300,0,OK,0
Hermina Yogya,300,300,0,OK,0
Independent RS UBAYA  Managed by Hermina,300,300,0,OK,0
RS Hermina Galaxy,300,299,1,OK,0
